ids,pred_seg,labels_seg
327_nda-16,1,2
130_nda-15,1,1
355_nda-11,2,2
214_nda-16,2,2
187_nda-15,1,1
346_nda-7,1,1
276_nda-17,1,0
210_nda-12,2,2
578_nda-7,1,1
208_nda-4,1,2
135_nda-11,2,2
445_nda-7,0,0
217_nda-10,2,2
557_nda-20,2,2
252_nda-20,2,2
503_nda-2,0,0
613_nda-5,1,1
472_nda-18,2,2
159_nda-15,1,1
460_nda-4,1,1
500_nda-4,1,1
95_nda-4,1,1
170_nda-20,0,0
560_nda-8,1,1
292_nda-2,0,2
155_nda-5,1,1
442_nda-1,2,1
623_nda-3,1,1
427_nda-17,2,2
115_nda-4,1,1
163_nda-2,0,0
516_nda-17,2,2
128_nda-5,1,1
325_nda-17,2,2
198_nda-2,0,2
599_nda-19,1,2
101_nda-8,1,2
273_nda-3,1,2
373_nda-8,1,1
304_nda-2,0,0
252_nda-2,0,0
624_nda-5,1,1
281_nda-11,2,2
375_nda-13,1,2
100_nda-17,2,2
189_nda-12,1,1
327_nda-13,1,1
492_nda-15,1,1
554_nda-1,2,2
168_nda-8,1,1
518_nda-20,1,1
105_nda-10,2,2
271_nda-10,2,2
388_nda-12,1,1
553_nda-1,2,2
193_nda-5,1,1
216_nda-7,1,2
518_nda-19,1,1
179_nda-11,2,1
163_nda-8,1,1
364_nda-12,1,1
345_nda-20,1,1
245_nda-13,1,1
195_nda-3,1,1
594_nda-3,1,2
609_nda-17,2,2
599_nda-17,2,1
291_nda-10,2,2
149_nda-15,1,1
141_nda-17,2,2
94_nda-16,1,2
180_nda-10,2,2
275_nda-1,2,2
297_nda-13,1,1
358_nda-20,0,0
577_nda-16,2,2
276_nda-12,1,1
103_nda-20,0,0
516_nda-2,0,0
338_nda-20,0,0
168_nda-3,1,1
243_nda-11,2,2
197_nda-3,1,1
359_nda-16,2,2
492_nda-16,2,2
91_nda-1,2,2
102_nda-16,2,2
481_nda-20,2,2
344_nda-2,0,0
453_nda-19,1,2
94_nda-12,1,1
247_nda-1,2,2
150_nda-18,2,2
173_nda-11,2,2
579_nda-8,1,1
102_nda-3,1,1
121_nda-12,2,2
101_nda-13,1,1
125_nda-13,1,1
222_nda-3,1,2
226_nda-3,1,1
461_nda-11,2,2
206_nda-11,2,1
155_nda-12,1,2
87_nda-15,1,1
151_nda-12,1,1
239_nda-5,0,0
147_nda-7,0,0
197_nda-16,1,1
144_nda-12,1,1
359_nda-13,1,1
306_nda-2,0,0
241_nda-18,2,2
103_nda-3,1,1
616_nda-1,2,2
553_nda-10,2,1
545_nda-11,2,2
317_nda-13,1,1
258_nda-10,2,2
516_nda-11,2,2
529_nda-8,1,1
236_nda-18,2,2
573_nda-18,2,2
114_nda-2,0,2
617_nda-15,1,1
518_nda-11,2,2
602_nda-11,2,2
409_nda-7,1,1
159_nda-11,2,2
613_nda-13,1,2
102_nda-18,2,2
430_nda-12,2,2
187_nda-3,1,1
317_nda-7,1,1
618_nda-15,1,1
617_nda-8,1,1
201_nda-2,0,0
211_nda-1,2,2
326_nda-10,2,2
362_nda-11,2,1
180_nda-16,1,2
375_nda-2,0,0
270_nda-4,1,1
344_nda-17,1,1
130_nda-10,2,2
377_nda-7,0,2
303_nda-17,2,0
154_nda-4,1,1
156_nda-12,2,2
291_nda-13,1,2
425_nda-19,2,2
87_nda-12,1,2
458_nda-5,1,1
252_nda-8,2,2
578_nda-11,2,2
385_nda-10,1,1
311_nda-20,1,1
553_nda-20,2,0
472_nda-12,2,2
562_nda-20,1,0
209_nda-8,1,1
219_nda-13,1,1
534_nda-13,1,1
169_nda-16,1,1
341_nda-2,0,0
489_nda-1,2,2
574_nda-5,1,1
350_nda-16,1,1
386_nda-7,0,0
112_nda-19,2,2
286_nda-7,1,1
251_nda-13,1,1
187_nda-16,1,1
258_nda-5,1,1
116_nda-16,2,2
135_nda-12,1,2
221_nda-16,1,2
330_nda-15,2,2
330_nda-20,0,0
126_nda-7,1,1
311_nda-8,1,1
131_nda-20,0,0
298_nda-16,1,2
463_nda-16,1,1
534_nda-12,1,2
504_nda-11,2,2
457_nda-15,2,2
297_nda-2,0,0
607_nda-16,1,1
139_nda-16,2,1
