ids,pred_seg_0,labels_seg_0
161_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
120_nda-20,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
144_nda-5,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
246_nda-19,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
495_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
386_nda-19,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
122_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
443_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
376_nda-2,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
425_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
164_nda-1,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
469_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
352_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
199_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
379_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
457_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
110_nda-17,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
587_nda-7,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
369_nda-20,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
151_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
298_nda-18,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
466_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
139_nda-10,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
158_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
180_nda-18,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
363_nda-11,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
320_nda-13,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
340_nda-15,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
378_nda-7,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
183_nda-10,[0 0 3 ... 2 1 3],[   0 7199 2801    2]
177_nda-12,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
512_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
169_nda-3,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
233_nda-4,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
404_nda-16,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
210_nda-20,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
503_nda-19,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
404_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
203_nda-20,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
615_nda-8,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
263_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
115_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
524_nda-17,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
377_nda-1,[0 0 4 ... 3 1 4],[    0 26412  7822 26579     2]
158_nda-19,[0 0 4 ... 3 1 4],[    0 30495  3760  1757     2]
168_nda-11,[0 0 4 ... 2 1 4],[   0 7199 2801    2 -100]
