ids,rouge/geometric_mean_seg_0,preds_seg_0,preds_seg_0_tokens,target_text,labels
tr-sq-73,83.0052,Conferees agreed that the remote control could be sold with optional plastic protection and water,"[    0 11847    49    15    15     7  4686    24     8  4322   610   228
    36  1916    28  9042  2343  1711    11   387]",Conferees agreed that the remote control could be sold with optional plastic protection and water-proof box for customers to choose.,"[11847    49    15    15     7  4686    24     8  4322   610   228    36
  1916    28  9042  2343  1711    11   387    18  8592  1367    21   722
    12   854     5     1  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100]"
tr-gq-731,8.3643,"The group discussed the future directions of the project, including the departure and arrival dates. The goal","[    0    37   563  5172     8   647  7943    13     8   516     6   379
     8 12028    11  6870  5128     5    37  1288]","An idea for future work was suggested during the visit of the german project manager: the possibility to use the same system for language generation. Setting up certain inputs in the Bayes-net would imply certain intentions, which would trigger dialogues. There is potential to make a conference paper out of presenting the current work and the project aspirations within a parsing paradigm. The focus should be the Bayes-net, to which all other modules interface. Situation, User, Discourse and Ontology feed into the net to infer user intentions. It was suggested that they start analysing what the Discourse and Ontology would give as inputs to the Bayes-net.","[  389   800    21   647   161    47  5259   383     8   719    13     8
 13692   516  2743    10     8  5113    12   169     8   337   358    21
  1612  3381     5 23495    95   824  3785     7    16     8  2474    15
     7    18  1582   133     3 18531   824 17494     6    84   133  7294
  7478     7     5   290    19  1055    12   143     3     9  2542  1040
    91    13     3 12072     8   750   161    11     8   516    38  2388
  1628   441     3     9   260     7    53 20491     5    37   992   225
    36     8  2474    15     7    18  1582     6    12    84    66   119
 10561  3459     5 15494     6  6674     6  2678 19221    11   461    17
  1863  3305   139     8  3134    12    16  1010  1139 17494     5    94
    47  5259    24    79   456 22742    53   125     8  2678 19221    11
   461    17  1863   133   428    38  3785     7    12     8  2474    15
     7    18  1582     5     1]"
tr-sq-648,53.758,Grad D was working on filing his taxes. He explained that he had filed taxes in both,"[    0 10771   309    47   464    30  9479   112  5161     5   216  5243
    24     3    88   141  5132  5161    16   321]","Grad D was focused on filing his taxes. He explained to the team that he had both Canadian and US income, so he had to file taxes in both countries for the preceding year.","[10771   309    47  2937    30  9479   112  5161     5   216  5243    12
     8   372    24     3    88   141   321  4151    11   837  2055     6
    78     3    88   141    12  1042  5161    16   321  1440    21     8
 20799    53   215     5     1  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100]"
tr-sq-341,11.4004,The group agreed that the remote control should be trendy. They wanted it to be trendy because it,"[    0    37   563  4686    24     8  4322   610   225    36 18571     5
   328  1114    34    12    36 18571   250    34]","Project Manager suggested a can opener beneath the remote control, three players inside it, and different fronts on it. The rest of the team remained silent about the first idea and negative about the other two. Moreover, Industrial Designer pointed out that it needed to go with fashion; and User Interface shared the idea of keeping it simple and using an international standard.","[ 2786  3440  5259     3     9    54 19717 12759     8  4322   610     6
   386  1508  1096    34     6    11   315   851     7    30    34     5
    37   880    13     8   372     3  7361 11237    81     8   166   800
    11  2841    81     8   119   192     5     3  7371     6  9199 11296
  8744    91    24    34   906    12   281    28  2934   117    11  6674
 25064  2471     8   800    13  2627    34   650    11   338    46  1038
  1068     5     1]"
tr-sq-198,20.6617,"The team members got acquainted with the use of the SMARTboards. First, they","[    0    37   372   724   530 29740    28     8   169    13     8     3
  4212  8241  1976     7     5  1485     6    79]","The manager introduced a new technical device, the SMARTboards, to all the team members in order to facilitate their presentation and information sharing work. Then he asked the team to draw animals respectively to get acquainted with the device. Each member chooses a different animal, embodying their opinions upon the product.","[   37  2743  3665     3     9   126  2268  1407     6     8     3  4212
  8241  1976     7     6    12    66     8   372   724    16   455    12
  6758    70  3831    11   251  2178   161     5    37    29     3    88
  1380     8   372    12  3314  3127  6898    12   129 29740    28     8
  1407     5  1698  1144   854     7     3     9   315  2586     6 31104
  8149    70  8479  1286     8   556     5     1  -100  -100  -100  -100
  -100  -100]"
tr-sq-956,18.993,Project Manager introduced that they had a target price of 25 Euros and a production cost,"[   0 2786 3440 3665   24   79  141    3    9 2387  594   13  944 2430
    7   11    3    9  999  583]",Project Manager mentioned that they should target a selling price of twenty-five Euro for this remote control which would generate a profit of fifty million Euros. And they should target the international market. User Interface supplemented that they need to find out what people are willing to pay for and what kind of product they're expecting for twenty-five Euro.,"[ 2786  3440  2799    24    79   225  2387     3     9  3014   594    13
  6786    18 16443  2430    21    48  4322   610    84   133  3806     3
     9  3199    13 18358   770  2430     7     5   275    79   225  2387
     8  1038   512     5  6674 25064  8839    15    26    24    79   174
    12   253    91   125   151    33  4403    12   726    21    11   125
   773    13   556    79    31    60 11873    21  6786    18 16443  2430
     5     1]"
tr-sq-544,34.1582,Grad A was working on a paper on phase normalization for his/her work. Grad,"[    0 10771    71    47   464    30     3     9  1040    30  3944  1389
  1707    21   112    87   760   161     5 10771]",Grad A was working on cheating experiments to study classification of phones for his qualifying exam. Grad G fixed a bug in his Matlab code for phase normalization and started receiving better results.,"[10771    71    47   464    30 15009    53 12341    12   810 13774    13
  7219    21   112 18002  3631     5 10771   350  3599     3     9  8143
    16   112  5708  9339  1081    21  3944  1389  1707    11   708  4281
   394   772     5     1  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100]"
tr-sq-1240,9.7671,"According to Kirsty, they were not necessarily forecasting the long-term trends,","[    0  2150    12 10976     7    17    63     6    79   130    59  6539
  7555    53     8   307    18  1987  5001     6]","According to Kirsty, they were trying to develop a broader range of data and statistics that gave them a whole picture of the education performance, rather than narrowing down on one simple indicator that told only one aspect. They would use the Program for International Student Assessment, and any other external assessments that came through organizations like OECD. In addition, they believed that all the challenges and changes involved were made for the right reasons. What was crucial was that it was about more intelligent use of data and what was truly telling about the system.","[ 2150    12 10976     7    17    63     6    79   130  1119    12  1344
     3     9     3 13627   620    13   331    11  7475    24  1891   135
     3     9   829  1554    13     8  1073   821     6  1066   145  5658
    53   323    30    80   650 11169    24  1219   163    80  2663     5
   328   133   169     8  2350    21  1331  6341 15186     6    11   136
   119  3866 16396    24   764   190  2371   114     3 19956  6931     5
    86   811     6    79  6141    24    66     8  2428    11  1112  1381
   130   263    21     8   269  2081     5   363    47  4462    47    24
    34    47    81    72  7951   169    13   331    11   125    47  1892
  5188    81     8   358     5     1]"
tr-gq-55,11.5918,"This was the second meeting on functional design. First, Project Manager began the meeting by introducing","[    0   100    47     8   511  1338    30  5014   408     5  1485     6
  2786  3440  1553     8  1338    57     3 13505]","This was the functional design meeting, where the team discussed what functions should be included in the remote and how they should be carried out. User Interface gave a presentation on the design of the remote, offering a complex version and a simple one. Marketing followed with a presentation on the functional requirements of the remote, pointing out that the remote should be both high-tech looking and user-friendly, preferably with fewer buttons, a lost-and-found function and speech recognition. Industrial Designer then presented the working design for the remote, including its power source, chips and the component layout. The team then went into a further in-depth discussion, dealing with the specific points raised in the above presentations. After everyone had shared their ideas, Project Manager closed the meeting by distributing new tasks among the team members for them to work on until their next meeting.","[  100    47     8  5014   408  1338     6   213     8   372  5172   125
  3621   225    36  1285    16     8  4322    11   149    79   225    36
  4006    91     5  6674 25064  1891     3     9  3831    30     8   408
    13     8  4322     6  1772     3     9  1561   988    11     3     9
   650    80     5  4329  2348    28     3     9  3831    30     8  5014
  1502    13     8  4322     6     3 15989    91    24     8  4322   225
    36   321   306    18  3470   479    11  1139    18  4905     6     3
 21669    28     3 10643 10634     6     3     9  1513    18   232    18
 19732  1681    11  5023  5786     5  9199 11296   258  2569     8   464
   408    21     8  4322     6   379   165   579  1391     6  8852    11
     8  3876  5315     5    37   372   258   877   139     3     9   856
    16    18 10437  3071     6  4945    28     8   806   979  3279    16
     8   756  9972     5   621   921   141  2471    70   912     6  2786
  3440  3168     8  1338    57     3 26962   126  4145   859     8   372
   724    21   135    12   161    30   552    70   416  1338     5     1]"
tr-sq-471,12.0041,The team came up with a way to help people locate the remote. The project manager suggested,"[   0   37  372  764   95   28    3    9  194   12  199  151 9586    8
 4322    5   37  516 2743 5259]","Marketing suggested that the remote can beep or a light in the remote can blink when people clap. Project Manager added that it can also give off a signal, activated by light sensors, when it is in a dark spot. However, Project Manager later raised up the point that voice or clapping was not specific enough and other devices like lamps with the same function only worked to a certain degree.","[ 4329  5259    24     8  4322    54    36    15   102    42     3     9
   659    16     8  4322    54 25063   116   151     3  4651   102     5
  2786  3440   974    24    34    54    92   428   326     3     9  3240
     6  8195    26    57   659 12237     6   116    34    19    16     3
     9  2164  2140     5   611     6  2786  3440   865  3279    95     8
   500    24  2249    42     3  4651  5341    47    59   806   631    11
   119  1904   114 16404    28     8   337  1681   163  1279    12     3
     9   824  1952     5     1  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100
  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100  -100]"
