from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,model_path,f1,best_valid_f1,precision,best_valid_precision,recall,best_valid_recall,accuracy,best_valid_accuracy
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,4,linear,1503,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr1e-04_linear_adamw_wd1e-03_1503_mem10_sum_loss/run_2,0.9230769276618958,0.7547169923782349,0.9599999785423279,0.7407407164573669,0.8888888955116272,0.7692307829856873,0.9411764740943909,0.796875
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,4,linear,1503,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr1e-04_linear_adamw_wd1e-03_1503_mem10_sum_loss/run_1,0.9615384340286255,0.807692289352417,1.0,0.807692289352417,0.9259259104728699,0.8461538553237915,0.970588207244873,0.84375
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,4,constant_with_warmup,1503,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_1503_mem10_sum_loss/run_2,0.9411764740943909,0.7636363506317139,1.0,0.7599999904632568,0.8888888955116272,0.807692289352417,0.9558823704719543,0.796875
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,4,constant_with_warmup,1503,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_1503_mem10_sum_loss/run_1,0.9411764740943909,0.7931034564971924,1.0,0.7307692170143127,0.8888888955116272,0.8846153616905212,0.9558823704719543,0.8125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,4,linear,1503,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr5e-05_linear_adamw_wd1e-03_1503_mem10_sum_loss/run_2,0.8679245114326477,0.7857142686843872,0.8846153616905212,0.75,0.8518518805503845,0.8461538553237915,0.8970588445663452,0.8125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,4,linear,1503,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr5e-05_linear_adamw_wd1e-03_1503_mem10_sum_loss/run_1,0.8399999737739563,0.7636363506317139,0.9130434989929199,0.7241379022598267,0.7777777910232544,0.8461538553237915,0.8823529481887817,0.796875
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,4,constant_with_warmup,1503,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_1503_mem10_sum_loss/run_2,0.9411764740943909,0.7931034564971924,1.0,0.75,0.8888888955116272,0.8846153616905212,0.9558823704719543,0.8125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,4,constant_with_warmup,1503,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_1503_mem10_sum_loss/run_1,0.9411764740943909,0.8070175647735596,1.0,0.7586206793785095,0.8888888955116272,0.8846153616905212,0.9558823704719543,0.828125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,4,linear,1002,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr1e-04_linear_adamw_wd1e-03_1002_mem10_sum_loss/run_2,0.9433962106704712,0.7924528121948242,0.9615384340286255,0.7916666865348816,0.9259259104728699,0.807692289352417,0.9558823704719543,0.828125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,4,linear,1002,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr1e-04_linear_adamw_wd1e-03_1002_mem10_sum_loss/run_1,0.9411764740943909,0.7692307829856873,1.0,0.7692307829856873,0.8888888955116272,0.807692289352417,0.9558823704719543,0.8125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,4,constant_with_warmup,1002,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_1002_mem10_sum_loss/run_2,0.9433962106704712,0.7857142686843872,0.9615384340286255,0.800000011920929,0.9259259104728699,0.8461538553237915,0.9558823704719543,0.828125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,4,constant_with_warmup,1002,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_1002_mem10_sum_loss/run_1,0.9433962106704712,0.8444444537162781,0.9615384340286255,1.0,0.9259259104728699,0.8461538553237915,0.9558823704719543,0.890625
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,4,linear,1002,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr5e-05_linear_adamw_wd1e-03_1002_mem10_sum_loss/run_2,0.9056603908538818,0.7636363506317139,0.9230769276618958,0.7407407164573669,0.8888888955116272,0.807692289352417,0.9264705777168274,0.796875
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,4,linear,1002,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr5e-05_linear_adamw_wd1e-03_1002_mem10_sum_loss/run_1,0.9056603908538818,0.7692307829856873,0.9230769276618958,0.7692307829856873,0.8888888955116272,0.7692307829856873,0.9264705777168274,0.8125
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,4,constant_with_warmup,1002,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_1002_mem10_sum_loss/run_2,0.9433962106704712,0.8333333134651184,0.9615384340286255,0.9090909361839294,0.9259259104728699,0.7692307829856873,0.9558823704719543,0.875
t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,1,4,constant_with_warmup,1002,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/t5-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_1002_mem10_sum_loss/run_1,0.9433962106704712,0.7599999904632568,0.9615384340286255,0.8500000238418579,0.9259259104728699,0.807692289352417,0.9558823704719543,0.8125
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1497,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10_sum_loss/run_3,0.9230769276618958,0.8235294222831726,0.9599999785423279,0.9411764740943909,0.8888888955116272,1.0,0.939393937587738,0.859375
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1497,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10_sum_loss/run_2,0.9615384340286255,0.8846153616905212,1.0,1.0,0.9259259104728699,1.0,0.9696969985961914,0.90625
microsoft/deberta-v3-base,,modeling_rmt_sum_loss:RMTEncoderForSequenceClassification,encoder,1e-05,1,4,constant_with_warmup,1497,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10_sum_loss/run_1,,0.0,,0.0,,0.0,,0.59375
microsoft/deberta-v3-base,,modeling_rmt_sum_loss:RMTEncoderForSequenceClassification,encoder,1e-05,1,4,constant_with_warmup,1497,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1497_mem10_sum_loss/run_1,0.9811320900917053,0.8461538553237915,1.0,1.0,0.9629629850387573,0.8461538553237915,0.9852941036224365,0.875
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,998,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_998_mem10_sum_loss/run_3,0.9411764740943909,0.8510638475418091,1.0,1.0,0.8888888955116272,1.0,0.9545454382896423,0.890625
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,998,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_998_mem10_sum_loss/run_2,0.9411764740943909,0.8571428656578064,1.0,1.0,0.8888888955116272,1.0,0.9545454382896423,0.890625
microsoft/deberta-v3-base,,modeling_rmt_sum_loss:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,constant_with_warmup,998,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_998_mem10_sum_loss/run_1,0.9811320900917053,0.8571428656578064,1.0,0.9473684430122375,0.9629629850387573,0.807692289352417,0.9852941036224365,0.890625
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,968,,25.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_968_mem25_sum_loss/run_3,0.9615384340286255,0.9056603908538818,1.0,1.0,0.9259259104728699,1.0,0.9696969985961914,0.921875
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,968,,25.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_968_mem25_sum_loss/run_2,0.9811320900917053,0.8888888955116272,1.0,1.0,0.9629629850387573,0.9230769276618958,0.9848484992980957,0.90625
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1452,,25.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1452_mem25_sum_loss/run_3,0.9411764740943909,0.8399999737739563,1.0,1.0,0.8888888955116272,1.0,0.9545454382896423,0.875
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1452,,25.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1452_mem25_sum_loss/run_2,0.9411764740943909,0.8085106611251831,1.0,1.0,0.8888888955116272,1.0,0.9545454382896423,0.859375
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1996,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1996_mem10_sum_loss/run_3,0.9411764740943909,0.8679245114326477,1.0,1.0,0.8888888955116272,1.0,0.9545454382896423,0.890625
microsoft/deberta-v3-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1996,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1996_mem10_sum_loss/run_2,0.9411764740943909,0.7727272510528564,1.0,1.0,0.8888888955116272,0.6538461446762085,0.9545454382896423,0.84375
