from_pretrained,input_seg_size,input_seq_len,num_mem_tokens,lr,lr_scheduler,sum_loss,f1,best_valid_f1,f1_std,n_runs,runs
allenai/longformer-base-4096,512.0,512,0.0,1e-05,constant_with_warmup,True,0.9615384340286256,0.8163265287876129,0.0,2,"[0.96, 0.96]"
allenai/longformer-base-4096,512.0,4096,0.0,1e-05,constant_with_warmup,True,0.9478914141654968,0.8020927459001541,0.009264210559130823,4,"[0.94, 0.95, 0.96, 0.94]"
allenai/longformer-base-4096,512.0,4096,0.0,1e-05,linear,True,0.9524673223495483,0.7835884392261505,0.01282848916235192,2,"[0.96, 0.94]"
allenai/longformer-base-4096,512.0,4096,0.0,5e-05,constant_with_warmup,True,0.8992587625980377,0.8160200417041779,0.00905326950068557,2,"[0.89, 0.91]"
allenai/longformer-base-4096,512.0,4096,0.0,5e-05,linear,True,0.9423076808452606,0.8209219872951508,0.027196391966564287,2,"[0.92, 0.96]"
bert-base-cased,256.0,256,0.0,1e-05,linear,False,0.908999502658844,0.6686508059501648,0.010904326518860738,6,"[0.9, 0.9, 0.92, 0.9, 0.9, 0.92]"
bert-base-cased,256.0,486,10.0,1e-05,constant_with_warmup,False,0.9091074019670486,0.7279693633317947,0.016920293975826135,8,"[0.91, 0.92, 0.88, 0.92, 0.91, 0.92, 0.88, 0.92]"
bert-base-cased,256.0,486,10.0,1e-05,linear,False,0.9070286601781845,0.7451321631669998,0.019058749875050473,8,"[0.92, 0.9, 0.88, 0.92, 0.92, 0.9, 0.88, 0.92]"
bert-base-cased,256.0,486,10.0,5e-05,constant_with_warmup,False,0.9047532677650452,0.7502493411302567,0.014569415300341615,8,"[0.91, 0.92, 0.91, 0.88, 0.91, 0.92, 0.91, 0.88]"
bert-base-cased,256.0,486,10.0,5e-05,linear,False,0.9047532677650452,0.7283303439617157,0.014569415300341615,8,"[0.91, 0.92, 0.91, 0.88, 0.91, 0.92, 0.91, 0.88]"
bert-base-cased,256.0,768,10.0,1e-05,linear,False,0.8852264086405436,0.7527777751286825,0.0308328252090428,6,"[0.85, 0.92, 0.88, 0.85, 0.92, 0.88]"
bert-base-cased,256.0,972,10.0,1e-05,constant_with_warmup,False,0.9061536639928818,0.7687751054763794,0.0228222010157945,8,"[0.89, 0.94, 0.91, 0.89, 0.89, 0.94, 0.91, 0.89]"
bert-base-cased,256.0,972,10.0,1e-05,linear,False,0.9072398245334625,0.7857779413461685,0.009774872265649551,8,"[0.9, 0.92, 0.9, 0.9, 0.9, 0.92, 0.9, 0.9]"
bert-base-cased,256.0,972,10.0,5e-05,constant_with_warmup,False,0.9426705241203308,0.8135725855827332,0.01720969107744331,6,"[0.96, 0.94, 0.92, 0.96, 0.94, 0.92]"
bert-base-cased,256.0,972,10.0,5e-05,linear,False,0.9157007932662964,0.7954545418421427,0.028482347626944352,6,"[0.94, 0.88, 0.93, 0.94, 0.88, 0.93]"
bert-base-cased,256.0,998,10.0,1e-05,constant_with_warmup,False,0.901960790157318,0.7916666865348816,0.0,2,"[0.9, 0.9]"
bert-base-cased,256.0,998,10.0,1e-05,linear,False,0.9230769276618958,0.8333333134651184,0.0,2,"[0.92, 0.92]"
bert-base-cased,256.0,998,10.0,5e-05,linear,False,0.8799999952316284,0.7727272510528564,0.0,2,"[0.88, 0.88]"
bert-base-cased,512.0,512,0.0,1e-05,linear,False,0.90871795018514,0.7801398436228434,0.022244832254417018,6,"[0.88, 0.92, 0.92, 0.88, 0.92, 0.92]"
bert-base-cased,512.0,818,100.0,1e-05,linear,False,0.906409489256995,0.7534780630043575,0.014427714810094031,28,"[0.9, 0.92, 0.9, 0.9, 0.92, 0.92, 0.92, 0.9, 0.91, 0.92, 0.88, 0.9, 0.9, 0.88, 0.9, 0.92, 0.9, 0.9, 0.92, 0.92, 0.92, 0.9, 0.91, 0.92, 0.88, 0.9, 0.9, 0.88]"
bert-base-cased,512.0,968,25.0,1e-05,constant_with_warmup,True,0.8846153616905212,0.7503268122673035,0.0,2,"[0.88, 0.88]"
bert-base-cased,512.0,998,10.0,1e-05,constant_with_warmup,False,0.9230769276618958,0.7916666865348816,0.0,2,"[0.92, 0.92]"
bert-base-cased,512.0,998,10.0,1e-05,constant_with_warmup,True,0.9215686321258544,0.7584219872951508,0.02772967604077251,2,"[0.9, 0.94]"
bert-base-cased,512.0,998,10.0,1e-05,linear,False,0.8985671103000641,0.813043475151062,0.016916186573065293,8,"[0.92, 0.9, 0.88, 0.88, 0.92, 0.9, 0.88, 0.88]"
bert-base-cased,512.0,998,10.0,5e-05,constant_with_warmup,False,0.9411764740943908,0.7916666865348816,0.0,2,"[0.94, 0.94]"
bert-base-cased,512.0,998,10.0,5e-05,linear,False,0.901960790157318,0.7272727489471436,0.0,2,"[0.9, 0.9]"
bert-base-cased,512.0,1227,100.0,1e-05,linear,False,0.8742483655611674,0.719504177570343,0.025127727024139894,12,"[0.88, 0.9, 0.82, 0.88, 0.88, 0.88, 0.88, 0.9, 0.82, 0.88, 0.88, 0.88]"
bert-base-cased,512.0,1452,25.0,1e-05,constant_with_warmup,True,0.9125188589096069,0.7767722606658936,0.014931364021954467,2,"[0.9, 0.92]"
bert-base-cased,512.0,1497,10.0,1e-05,constant_with_warmup,False,0.9270588358243305,0.7798690795898438,0.012226233383311531,3,"[0.92, 0.92, 0.94]"
bert-base-cased,512.0,1497,10.0,1e-05,constant_with_warmup,True,0.9230769276618958,0.7497949004173279,0.0,2,"[0.92, 0.92]"
bert-base-cased,512.0,1497,10.0,1e-05,linear,False,0.8955723113483853,0.748885260687934,0.014339011971769958,9,"[0.9, 0.88, 0.88, 0.9, 0.9, 0.88, 0.88, 0.9, 0.92]"
bert-base-cased,512.0,1497,10.0,5e-05,constant_with_warmup,False,0.8974358836809794,0.7867647210756937,0.02220579546702764,3,"[0.88, 0.88, 0.92]"
bert-base-cased,512.0,1497,10.0,5e-05,linear,False,0.9358974099159241,0.7624901731808981,0.04441155652129762,3,"[0.96, 0.96, 0.88]"
bert-base-cased,512.0,1636,100.0,1e-05,linear,False,0.8976244330406188,0.7069106549024582,0.00802937315686369,8,"[0.9, 0.9, 0.9, 0.88, 0.9, 0.9, 0.9, 0.88]"
bert-base-cased,512.0,1996,10.0,1e-05,constant_with_warmup,False,0.9411764740943908,0.7272727489471436,,1,[0.94]
bert-base-cased,512.0,1996,10.0,1e-05,constant_with_warmup,True,0.9321267008781433,0.7221269309520721,0.012798312018818042,2,"[0.94, 0.92]"
bert-base-cased,512.0,1996,10.0,1e-05,linear,False,0.9008403420448303,0.7276737519672939,0.01636353969180312,7,"[0.88, 0.9, 0.92, 0.88, 0.9, 0.92, 0.9]"
bert-base-cased,512.0,1996,10.0,5e-05,constant_with_warmup,False,0.9433962106704712,0.739130437374115,,1,[0.94]
