task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,segment_ordering,padding_side,model_path,sum_loss,inter_layer_memory,num_steps,best_valid_f1
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,2,2,linear,972,,25.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_972-1024_mem25_bs32_iters1600_sl_rep_first/run_2,True,False,1600,13.551600456237793
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0001,2,2,linear,972,,25.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr1e-04_linear_adamw_wd1e-03_972-1024_mem25_bs32_iters1600_sl_rep_first/run_1,True,False,1600,13.341500282287598
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,2,linear,1002,,10.0,regular,,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl/run_3,True,False,1600,11.147899627685547
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,2,linear,1002,,10.0,regular,,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl/run_2,True,False,1600,10.493300437927246
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,2,linear,1002,,10.0,regular,,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl/run_1,True,False,1600,11.085399627685547
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl_rep_first/run_3,True,False,1600,12.781399726867676
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl_rep_first/run_2,True,False,1600,11.51990032196045
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1002-1024_mem10_bs32_iters1600_sl_rep_first/run_1,True,False,1600,12.063799858093262
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,972,,25.0,,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_972-1024_mem25_bs32_iters1600_sum_loss/run_3,True,,1600,11.507200241088867
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,972,,25.0,,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_972-1024_mem25_bs32_iters1600_sum_loss/run_2,True,,1600,12.045299530029297
