task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,segment_ordering,padding_side,model_path,sum_loss,inter_layer_memory,num_steps,best_valid_exact_match
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,bidirectional,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_bidirectional/run_2,True,False,3200,28.23590087890625
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,bidirectional,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_bidirectional/run_1,True,False,3200,29.38640022277832
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1503,,10.0,regular,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs8_iters3200_sl_regular/run_2,True,False,3200,0.0
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1503,,10.0,regular,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs8_iters3200_sl_regular/run_1,True,False,3200,0.0
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,regular,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_regular/run_2,False,False,3200,0.0478999987244606
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,regular,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_regular/run_2,False,False,3200,0.0
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,regular,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_regular/run_2,False,False,3200,0.0478999987244606
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,regular,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_regular/run_1,False,False,3200,0.0478999987244606
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,regular,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_regular/run_1,False,False,3200,0.0
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,regular,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_regular/run_1,False,False,3200,0.0
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,984,,25.0,bidirectional,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_984-1024_mem25_bs8_iters3200_sl_bidirectional/run_2,True,False,3200,20.421899795532227
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,984,,25.0,bidirectional,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_984-1024_mem25_bs8_iters3200_sl_bidirectional/run_1,True,False,3200,22.62700080871582
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,984,,25.0,regular,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_984-1024_mem25_bs8_iters3200_sl_regular/run_2,True,False,3200,0.0
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,984,,25.0,regular,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_984-1024_mem25_bs8_iters3200_sl_regular/run_1,True,False,3200,0.0
quality,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,1024,,,,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1024-1024_bs32_iters1600_baseline/run_1,,,1600,32.454498291015625
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_repeat_first/run_2,False,False,3200,29.002899169921875
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_repeat_first/run_2,False,False,3200,29.242599487304688
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_repeat_first/run_1,False,False,3200,27.8523006439209
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_repeat_first/run_1,False,False,960,26.845600128173828
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_repeat_first/run_1,False,False,3200,29.098800659179688
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1503,,10.0,bidirectional,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs8_iters3200_sl_bidirectional/run_1,True,False,3200,24.01729965209961
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1503,,10.0,repeat_first,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs8_iters3200_sl_repeat_first/run_2,True,False,480,22.1476993560791
quality,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1503,,10.0,repeat_first,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs8_iters3200_sl_repeat_first/run_1,True,False,3200,27.468799591064453
quality,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,512,,,,,../runs/finetune/debug/quality/t5-base/lr2e-04_linear_adamw_wd1e-03_512-1024_bs32_iters1600_baseline/run_1,,,1600,31.208099365234375
