from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,model_path,f1,best_valid_f1,precision,best_valid_precision,recall,best_valid_recall,accuracy,best_valid_accuracy
microsoft/deberta-v3-base,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,998,256.0,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_linear_adamw_wd1e-03_998_mem10/run_1,,0.5777778029441833,,0.40625,,1.0,,0.40625
microsoft/deberta-v3-base,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,998,256.0,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_linear_adamw_wd1e-03_998_mem10/run_1,0.9230769276618958,0.8518518805503845,0.9599999785423279,1.0,0.8888888955116272,1.0,0.939393937587738,0.875
microsoft/deberta-v3-base,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,998,256.0,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/microsoft/deberta-v3-base/lr1e-05_linear_adamw_wd1e-03_998_mem10/run_1,0.9230769276618958,0.8518518805503845,0.9599999785423279,1.0,0.8888888955116272,1.0,0.939393937587738,0.875
roberta-base,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,constant_with_warmup,998,256.0,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/roberta-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_1,0.9615384340286255,0.8799999952316284,1.0,1.0,0.9259259104728699,0.8461538553237915,0.9696969985961914,0.90625
roberta-base,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,constant_with_warmup,998,256.0,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/roberta-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_1,0.9615384340286255,0.8627451062202454,1.0,1.0,0.9259259104728699,1.0,0.9696969985961914,0.890625
roberta-base,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,5e-05,8,2,linear,998,256.0,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/roberta-base/lr5e-05_linear_adamw_wd1e-03_998_mem10/run_1,0.9433962106704712,0.800000011920929,0.9615384340286255,1.0,0.9259259104728699,0.8461538553237915,0.9545454382896423,0.84375
roberta-base,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,5e-05,8,2,linear,998,256.0,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/roberta-base/lr5e-05_linear_adamw_wd1e-03_998_mem10/run_1,0.0,0.7916666865348816,0.0,1.0,0.0,1.0,0.5909090638160706,0.84375
roberta-base,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,5e-05,8,2,constant_with_warmup,998,256.0,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/roberta-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_1,0.9811320900917053,0.8333333134651184,1.0,0.9444444179534912,0.9629629850387573,1.0,0.9848484992980957,0.875
roberta-base,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,5e-05,8,2,constant_with_warmup,998,256.0,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/roberta-base/lr5e-05_constant_with_warmup_adamw_wd1e-03_998_mem10/run_1,,0.5945945978164673,,1.0,,1.0,,0.765625
roberta-base,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,0.0001,8,2,linear,998,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/roberta-base/lr1e-04_linear_adamw_wd1e-03_998_mem10/run_1,0.0,0.7450980544090271,0.0,0.8421052694320679,0.0,1.0,0.5909090638160706,0.796875
roberta-base,,modeling_rmt_drop_empty:RMTEncoderForSequenceClassification,encoder,0.0001,8,2,constant_with_warmup,998,,10,../runs/finetune/gridsearch/hyperpartisan_news_detection/roberta-base/lr1e-04_constant_with_warmup_adamw_wd1e-03_998_mem10/run_1,,0.8333333134651184,,1.0,,0.8461538553237915,,0.875
